Name,Address,Email,Phone
Grundschule Aach   ,Schulstr. 5 78267 Aach,poststelle@04146900.schule.bwl.de,07774/1442
Abendgymnasium Ostwürttemberg   ,Friedrichstr. 68 73430 Aalen,,07361/555464
Abendrealschule Aalen   ,Turnstr. 21 73430 Aalen,,07361/956140
Aufwind-Schulkindergarten für Erziehungshilfe  ,Bertha-von-Suttner-Weg 2 73431 Aalen,,07361/36663
Bernd-Blindow-Schule Aalen  ,Heinrich-Rieger-Str. 22 73430 Aalen,,
Braunenbergschule Grundschule Wasseralfingen  ,Steinstr. 38 73433 Aalen,poststelle@04125362.schule.bwl.de,07361/9770-0
DAA Altenpflege-Schule Aalen der Deutschen Angestellten- Akademie ,An der Stadtkirche 23 73430 Aalen,,
Deutsche Angestelltenakademie Berufskolleg für Fremdsprachen  ,Ulmer Str. 126 73431 Aalen,poststelle@04316088.schule.bwl.de,07361/49060-0
Freie Waldorfschule Aalen e. V. Galgenberg Schulzentrum ,Hirschbachstr. 64 73431 Aalen,,07361/526550
Gartenschule Grundschule Ebnat ,Abt-Angehrn-Str. 5 73432 Aalen,poststelle@04125313.schule.bwl.de,07367/9670-0
Gemeinschaftsschule Welland   ,Hofherrnstr. 41 73434 Aalen,poststelle@04125337.schule.bwl.de,07361/42780
Grauleshofschule Grundschule  ,Humboldtstr. 20 73431 Aalen,poststelle@04125295.schule.bwl.de,07361/9371-0
Greutschule Grundschule  ,Parkstr. 14 73430 Aalen,poststelle@04125258.schule.bwl.de,07361/9560-6
Grundschule Waldhausen   ,Hochmeisterstr. 14 73432 Aalen,poststelle@04125350.schule.bwl.de,07367/2420
"Hermann-Hesse-Schule Sonderpädagogisches Bildungs- und Beratungszentrum Lernen, emotionale und soziale Entw.",Max-Eyth-Str. 30 73431 Aalen,poststelle@04106604.schule.bwl.de,07361/9370-6
Johannes-Landenberger-Schule Private Sonderberufsfachschule am Berufsausbildungswerk Ostalb ,Felix-Wankel-Str. 11 73431 Aalen,,07361/9263-0
Justus-von-Liebig-Schule Aalen Hauswirtschaftliche und Landwirtschaftliche Schule ,Steinbeisstr. 6 73430 Aalen,poststelle@04102532.schule.bwl.de,07361/566200
Kappelbergschule Grundschule Hofen ,Kappelbergstr. 30 73433 Aalen,poststelle@04125374.schule.bwl.de,07361/9771-6
"Karl-Kessler-Schule Grund-, Werkreal- und Realschule Wasseralfingen ",Hofwiesenstr. 53 73433 Aalen,poststelle@04125647.schule.bwl.de,07361/9771-100
Kaufmännische Schule Aalen   ,Steinbeisstr. 4 73430 Aalen,poststelle@04100006.schule.bwl.de,07361/566-300
Kocherburgschule Unterkochen Gemeinschaftsschule  ,Kutschenweg 27 73432 Aalen,poststelle@04113748.schule.bwl.de,07361/9871-0
Kopernikus-Gymnasium Wasseralfingen  ,Am Schäle 19 73433 Aalen,poststelle@04103469.schule.bwl.de,07361/9770-6
Langertschule Grundschule  ,Egerlandstr. 26 73431 Aalen,poststelle@04125635.schule.bwl.de,07361/931732
Private Berufliche Schule Dr. Engel Aalen  ,Mohlstr. 3 73431 Aalen,poststelle@04313099.schule.bwl.de,07361/555568
Privater Schulkindergarten für Geistigbehinderte  ,Karl-Kopp-Str. 2 73433 Aalen,,07361/74400
