image_url,price,artist,title,date
https://d32dm0rphc51dk.cloudfront.net/qjcDXVuSbeDQXxGQU2p-2A/larger.jpg,"US$3,000",Holly Osborne,Bell Flowers and Figure,2024
https://d32dm0rphc51dk.cloudfront.net/mQa-GfO_RL7vGNGHNy85_A/larger.jpg,"US$1,950",Zack Zdrale,Thad,2019
https://d32dm0rphc51dk.cloudfront.net/hGstKTr7SiEIT4C59LuvwQ/larger.jpg,"US$7,000",Hunt Slonem,'Marley' Unique Painting,2023
https://d32dm0rphc51dk.cloudfront.net/8BvDYau3hH_j8Kcc4qL1zg/larger.jpg,"US$1,500",CHANOIR (Alberto Vejarano),Sans-titre,2012
https://d32dm0rphc51dk.cloudfront.net/NeldrR3Y9is1nAv-kml4eQ/larger.jpg,"US$6,500",Hunt Slonem,Veronika,2024
https://d32dm0rphc51dk.cloudfront.net/qe151v_wETIVAbnC_UJBQA/larger.jpg,US$500,3rd Version,"Masks We Wear, Wanting to Grow",2022
https://d32dm0rphc51dk.cloudfront.net/QjyZTPUs_2gy_vCZIiNfBw/larger.jpg,US$950,SEEN,Spray Can (Grey),ca. 2020
https://d32dm0rphc51dk.cloudfront.net/oPIQoCnQQDPWLS79llY4xA/larger.jpg,US$300,Marjorie Sopkin,Miles to Go,2023
https://d32dm0rphc51dk.cloudfront.net/uk19yHNyo2FVUuu1qdMjhA/larger.jpg,US$700,Laurie M. Landry,Scott is Mad,2024
https://d32dm0rphc51dk.cloudfront.net/dN6SI0MGOwlHUM8W8hD6yQ/larger.jpg,"US$3,800",Sally K,Ada,2024
https://d32dm0rphc51dk.cloudfront.net/-v0gdlSQ7-ZUdV2hJYcCyA/larger.jpg,US$400,Alex Kuno,Palace 1,2024
https://d32dm0rphc51dk.cloudfront.net/H9xhJZKKGRzspu1oO1mfIg/larger.jpg,"US$6,500",Hunt Slonem,Tim,2024
https://d32dm0rphc51dk.cloudfront.net/XhQoRsjhJfLS3-Np40MEpQ/larger.jpg,"US$6,500",Hunt Slonem,Gary,2024
https://d32dm0rphc51dk.cloudfront.net/jHViX8_M3b4AhOuwmr4dfw/larger.jpg,"US$15,500",Hunt Slonem,Blue Diamond Dust,2024
https://d32dm0rphc51dk.cloudfront.net/RCfccF7s6nLCsGuafHG0wA/larger.jpg,"US$6,500",Hunt Slonem,Single Owl,2024
https://d32dm0rphc51dk.cloudfront.net/PRRaFkEzVLnhuMbXz4jA8A/larger.jpg,US$500,3rd Version,"Masks We Wear, Sometimes it's a Cape",2022
https://d32dm0rphc51dk.cloudfront.net/bDwNQUhR1-t7TtcT8LvSiA/larger.jpg,"US$3,800",Holly Osborne,Window with Green Curtains,2024
https://d32dm0rphc51dk.cloudfront.net/4GYJA9KuAnR94-31k9yMvw/larger.jpg,"US$6,500",Hunt Slonem,Neverland,2024
https://d32dm0rphc51dk.cloudfront.net/-7RvB60P8Z2SpLiImAkRdA/larger.jpg,"US$5,000",Zack Zdrale,Introvert,2024
https://d32dm0rphc51dk.cloudfront.net/tsMqZUOetA8Db9wRyM3-Mw/larger.jpg,"US$5,150",Zack Zdrale,Wellness Check ,2024
https://d32dm0rphc51dk.cloudfront.net/ZDxS2gfHsUrVbQluyeK_Dw/larger.jpg,"US$2,800",Sharon Shapiro,The Hunter,2022
https://d32dm0rphc51dk.cloudfront.net/m-qsEXtthL6vNrwYR2hI-w/larger.jpg,"US$4,000",Victor Rodriguez,Small Pink Bust,2020
https://d32dm0rphc51dk.cloudfront.net/Ot2eI0bmlZaxEJlew4PjUw/larger.jpg,"US$7,000",Hunt Slonem,'Spectacular' Unique painting,2023
https://d32dm0rphc51dk.cloudfront.net/bqvWalsNJMzARj4VtLmZdw/larger.jpg,US$275,Bryanna Marie,Stolen Looks,2024
https://d32dm0rphc51dk.cloudfront.net/2f-4NmiZchGnCRsj34_rHQ/larger.jpg,US$920,Desiderio,ROCKET SERIES 1,2009
https://d32dm0rphc51dk.cloudfront.net/YpBfzuDeIW9u6YJ-H75RzA/larger.jpg,US$275,Marjorie Sopkin,Fare Thee Well Bright Star,2023
https://d32dm0rphc51dk.cloudfront.net/3EocjamtkTAhuWgUcLgB0A/larger.jpg,US$200,Cal,Shonan sunset #1,2022
https://d32dm0rphc51dk.cloudfront.net/wp9xQNrvUfW_0MjPDVQ4og/larger.jpg,"US$3,450",Grafflex,Sqoin,2021
https://d32dm0rphc51dk.cloudfront.net/uoxujimGy1BCOAIay_BYdQ/larger.jpg,"US$6,500",Hunt Slonem,Tandra,2020
https://d32dm0rphc51dk.cloudfront.net/Pri7RR0jBj3XpyutfoAOxQ/larger.jpg,"US$5,000",Johannes Ehemann,Spring,2024
https://d32dm0rphc51dk.cloudfront.net/_q0tIVzogtjw9xFaQJnhlw/larger.jpg,£600-£700,Georgia Beaumont,Murmuring Sap,2024
https://d32dm0rphc51dk.cloudfront.net/Bwc2CVSMJhZ9tyqg2nDuXg/larger.jpg,"US$2,500",Matt Talbert,Under the Stars,2024
https://d32dm0rphc51dk.cloudfront.net/Bd3R7b-opvsXdW21gioR3g/larger.jpg,"US$7,000",Hunt Slonem,'Mist 2' Unique Painting,2023
https://d32dm0rphc51dk.cloudfront.net/K96N5y2LPFj0N3M9VnvU2w/larger.jpg,"US$4,800",David Krovblit,Sirens Ariel II ,2024
https://d32dm0rphc51dk.cloudfront.net/2ecexh0HoAg1IOH-tZx8Jw/larger.jpg,"US$7,000",Hunt Slonem,'Banded' Unique Oil Painting,2023
https://d32dm0rphc51dk.cloudfront.net/BUiBGDHNVvoA85EL5Hdkgg/larger.jpg,"US$6,500",Hunt Slonem,Cardinals,2024
https://d32dm0rphc51dk.cloudfront.net/ZY6erBLHvfo6WR3R49t3Kg/larger.jpg,US$125,"R.W. ""Rudy"" Beerens",Carla Cox,2020
https://d32dm0rphc51dk.cloudfront.net/12lgQmHsG2l4NIp2X5piYA/larger.jpg,"US$1,450",Cope 2,'Metro 4699',2024
https://d32dm0rphc51dk.cloudfront.net/8XkJ6mSX3tr_ZDTEeigy5g/larger.jpg,US$125,"R.W. ""Rudy"" Beerens",Roeie Piere,2020
https://d32dm0rphc51dk.cloudfront.net/JheXrCka_7GJ6vskkyu0LA/larger.jpg,"US$10,900",Hunt Slonem,Edward,2024
https://d32dm0rphc51dk.cloudfront.net/ALQjJgHeS2_zmHJ0ou3zBg/larger.jpg,"US$7,000",Hunt Slonem,'Tom' Unique Painting,2023
https://d32dm0rphc51dk.cloudfront.net/Vv0Krea1JCVh7QXBzYEssg/larger.jpg,US$920,Desiderio,ROCKET SERIES 12,2009
https://d32dm0rphc51dk.cloudfront.net/rR4CkyxJz-dAJyME8LbJuw/larger.jpg,"US$2,920",Gema Quiles,Jinete rojo,2024
https://d32dm0rphc51dk.cloudfront.net/d18Dt_AUo2-7Exa4-SapdQ/larger.jpg,"£3,792",Geoffrey Bouillot,Kappabashi Looking,2024
https://d32dm0rphc51dk.cloudfront.net/_MYXs7myL6pEAL2cK7RLWg/larger.jpg,US$850,David Jamin,Le petit cuistot ,2024
https://d32dm0rphc51dk.cloudfront.net/LfxKiIQGT5Pyp80bySQBjg/larger.jpg,US$650,Kendra Lynn Bulgrin,Snow Day,2024
https://d32dm0rphc51dk.cloudfront.net/LwoLBUS2WiDtalo7IB-SKg/larger.jpg,"US$3,800",Bradley Stevens,Riverside,2023
https://d32dm0rphc51dk.cloudfront.net/CRRPQ2gyiJqOZophl9AnRA/larger.jpg,US$548,Nobue Kubota („ÇØ„Éú„Çø „Éé„Éñ„Ç®),You can see Sky Tree,2024
